FID,Join_Count,OID,Join_Count,TARGET_FID,Join_Cou_1,Target_F_1,StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_Trac,Population,MHLTH_Crud,PHLTH_Crud,Geolocatio,lat,long,MHLTH_Medi,PHLTH_Medi,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23,Field24,Field25,Field26,Field27,Field28,Field29,Field30,Field31,Field32,Field33,Field34,Field35,Field36,Field37,Field38,Field39,Field40,Field41,Field42,Field43,Field44,Field45,Field46,LPA_CrudeP,Field48,Field49,Field50,Field51,Field52,Field53,Field54,Field55,Field56,PHLTH_Cr_1,MHLTH,PHLTH,Health,Distance,Dist_HLTH
60,1,60,1,60,0,0,MA,Boston,2507000,25025091700,2507000-25025091700,3069,19.2,16,"(42.30361111090, -71.0659136377)",42.30361111,-71.06591364,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
61,1,61,1,61,0,0,MA,Boston,2507000,25025050901,2507000-25025050901,4165,16.1,13,"(42.38237246830, -71.0297979270)",42.38237247,-71.02979793,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,2,4.5
62,1,62,1,62,0,0,MA,Boston,2507000,25025070200,2507000-25025070200,5218,16.5,11.4,"(42.34965391110, -71.0639144010)",42.34965391,-71.0639144,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
63,1,63,1,63,0,0,MA,Boston,2507000,25025010203,2507000-25025010203,5569,14.5,8,"(42.34478377380, -71.0972291191)",42.34478377,-71.09722912,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,0,1.5,3,4.5
64,1,64,1,64,0,0,MA,Boston,2507000,25025040801,2507000-25025040801,3900,14.2,11.7,"(42.37905355340, -71.0520713919)",42.37905355,-71.05207139,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
65,1,65,1,65,0,0,MA,Boston,2507000,25025081001,2507000-25025081001,4890,17.2,13,"(42.33456664610, -71.1068303460)",42.33456665,-71.10683035,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
66,1,66,1,66,0,0,MA,Boston,2507000,25025100400,2507000-25025100400,4865,14.3,12.8,"(42.28178702600, -71.0708445892)",42.28178703,-71.07084459,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
67,1,67,1,67,0,0,MA,Boston,2507000,25025090400,2507000-25025090400,3659,18.2,16.2,"(42.31716357610, -71.0747097432)",42.31716358,-71.07470974,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
68,1,68,1,68,0,0,MA,Boston,2507000,25025051101,2507000-25025051101,6093,15,13.4,"(42.38563916230, -71.0040256669)",42.38563916,-71.00402567,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,2,4.5
69,1,69,1,69,0,0,MA,Boston,2507000,25025080401,2507000-25025080401,2710,16,15,"(42.33211857970, -71.0808985050)",42.33211858,-71.08089851,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
70,1,70,1,70,0,0,MA,Boston,2507000,25025980101,2507000-25025980101,535,22.2,24.7,"(42.32866251090, -70.9651339332)",42.32866251,-70.96513393,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,0,2.5
71,1,71,1,71,0,0,MA,Boston,2507000,25025082100,2507000-25025082100,5025,19.2,18.3,"(42.30944848410, -71.0872292144)",42.30944848,-71.08722921,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
72,1,72,1,72,0,0,MA,Boston,2507000,25025091300,2507000-25025091300,2499,20,16.9,"(42.31993569610, -71.0668701025)",42.3199357,-71.0668701,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
73,1,73,1,73,0,0,MA,Boston,2507000,25025091200,2507000-25025091200,3234,15.2,12.6,"(42.31632590820, -71.0622197577)",42.31632591,-71.06221976,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
74,1,74,1,74,0,0,MA,Boston,2507000,25025092400,2507000-25025092400,5277,18.8,17.3,"(42.29604175710, -71.0849876986)",42.29604176,-71.0849877,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
75,1,75,1,75,0,0,MA,Boston,2507000,25025081500,2507000-25025081500,2134,14.7,13.2,"(42.32071868140, -71.0929140339)",42.32071868,-71.09291403,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
76,1,76,1,76,0,0,MA,Boston,2507000,25025050600,2507000-25025050600,2063,16,13.7,"(42.37188775700, -71.0372695279)",42.37188776,-71.03726953,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
77,1,77,1,77,0,0,MA,Boston,2507000,25025130406,2507000-25025130406,5107,13.3,11.8,"(42.26006005390, -71.1512452710)",42.26006005,-71.15124527,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,1,3.5
