FID,SOURCE_ID,Health,GiZScore,GiPValue,NNeighbors,Gi_Bin
159,159,0.000000000000000,-0.200934936496000,0.840749449533000,78,0
160,160,1.000000000000000,-0.370146479909000,0.711273352442000,21,0
161,161,0.000000000000000,4.210008373540000,0.000025536122368,97,3
162,162,0.000000000000000,2.413743506610000,0.015789573221900,103,2
163,163,1.000000000000000,-1.004790195230000,0.314997899648000,26,0
164,164,1.000000000000000,-1.308243031860000,0.190790890764000,23,0
165,165,0.000000000000000,1.235977038670000,0.216467122334000,53,0
166,166,0.000000000000000,-2.727639359280000,0.006378930632150,57,-3
167,167,0.000000000000000,0.845613205444000,0.397768564763000,54,0
168,168,0.000000000000000,-2.857016009740000,0.004276442675770,60,-3
169,169,0.000000000000000,-0.862715963002000,0.388293662428000,76,0
170,170,0.000000000000000,-1.704281955750000,0.088328424373500,105,-1
171,171,0.000000000000000,0.839584925876000,0.401141162279000,107,0
172,172,0.000000000000000,2.536572813710000,0.011194346051700,109,2
